SKROT,PELNA_GODNOSC
grabowski,Dariusz Maciej GRABOWSKI
ikonowicz,Piotr IKONOWICZ
kalinowski,Jarosław KALINOWSKI
korwin,Janusz KORWIN-MIKKE
krzaklewski,Marian KRZAKLEWSKI
kwasniewski,Aleksander KWAŚNIEWSKI
lepper,Andrzej LEPPER
lopuszanski,Jan ŁOPUSZAŃSKI
olechowski,Andrzej Marian OLECHOWSKI
pawlowski,Bogdan PAWŁOWSKI
walesa,Lech WAŁĘSA
wilecki,Tadeusz Adam WILECKI
